,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,ind
140,1695814271250,1.7412109,-0.4981079,0.003112793,2.984375,-18.875,-7.8125,Respeck,Normal walking,-1,s1862623,,147
141,1695814271287,1.2436523,-0.49249268,-0.03253174,18.859375,-33.515625,5.765625,Respeck,Normal walking,-1,s1862623,,148
142,1695814271337,0.64404297,-0.11602783,-0.46417236,9.265625,-21.28125,-19.65625,Respeck,Normal walking,-1,s1862623,,149
143,1695814271377,0.7182617,0.1408081,-0.23809814,6.03125,-25.609375,-38.5,Respeck,Normal walking,-1,s1862623,,150
144,1695814271412,1.999939,1.1288452,0.12371826,-45.640625,15.875,19.109375,Respeck,Normal walking,-1,s1862623,,151
145,1695814271450,1.097168,-0.2263794,-0.06109619,14.90625,4.8125,25.28125,Respeck,Normal walking,-1,s1862623,,152
146,1695814271489,0.6135254,-0.6878052,-0.09210205,-16.296875,-7.125,-4.03125,Respeck,Normal walking,-1,s1862623,,153
147,1695814271526,0.17480469,-0.15533447,-0.062561035,-20.9375,2.953125,2.765625,Respeck,Normal walking,-1,s1862623,,154
148,1695814271576,0.390625,0.1461792,0.07757568,-4.984375,-5.34375,-5.484375,Respeck,Normal walking,-1,s1862623,,155
149,1695814271613,0.65185547,0.0289917,0.094177246,-9.09375,8.765625,-8.078125,Respeck,Normal walking,-1,s1862623,,156
150,1695814271650,0.7463379,-0.12677002,0.276062,-11.984375,11.75,9.53125,Respeck,Normal walking,-1,s1862623,,157
151,1695814271689,1.1564941,-0.39630127,0.20819092,11.96875,31.75,-0.890625,Respeck,Normal walking,-1,s1862623,,158
152,1695814271727,1.5283203,-0.3867798,0.1930542,3.640625,18.203125,-13.21875,Respeck,Normal walking,-1,s1862623,,159
153,1695814271765,1.5102539,-0.3430786,0.3793335,-33.4375,5.15625,-17.921875,Respeck,Normal walking,-1,s1862623,,160
154,1695814271813,1.0007324,-0.28009033,-0.027893066,-20.046875,-19.921875,-11.453125,Respeck,Normal walking,-1,s1862623,,161
155,1695814271851,0.56933594,0.07366943,-0.58306885,-22.375,-30.953125,0.125,Respeck,Normal walking,-1,s1862623,,162
156,1695814271888,1.015625,0.49749756,-0.75909424,33.125,27.171875,37.015625,Respeck,Normal walking,-1,s1862623,,163
157,1695814271924,1.8339844,0.007507324,-0.21002197,-33.15625,31.53125,12.671875,Respeck,Normal walking,-1,s1862623,,164
158,1695814271963,1.114502,-0.95025635,-0.020568848,19.59375,-3.46875,-22.109375,Respeck,Normal walking,-1,s1862623,,165
159,1695814272000,0.60009766,0.0138549805,-0.070617676,-21.0625,-8.9375,-2.703125,Respeck,Normal walking,-1,s1862623,,166
160,1695814272053,0.46801758,0.33709717,0.22235107,-4.0,-13.234375,24.75,Respeck,Normal walking,-1,s1862623,,167
161,1695814272088,0.5473633,-0.14239502,-0.19293213,22.546875,0.34375,19.390625,Respeck,Normal walking,-1,s1862623,,168
162,1695814272125,0.5119629,-0.2185669,0.03363037,3.0625,6.1875,-1.53125,Respeck,Normal walking,-1,s1862623,,169
163,1695814272163,0.5864258,-0.2053833,0.12664795,40.75,5.296875,-19.03125,Respeck,Normal walking,-1,s1862623,,170
164,1695814272203,0.9897461,-0.12261963,0.13128662,56.4375,-3.359375,-0.578125,Respeck,Normal walking,-1,s1862623,,171
165,1695814272250,1.8325195,-0.25665283,-0.066711426,39.984375,-15.859375,21.15625,Respeck,Normal walking,-1,s1862623,,172
